Beds,Baths,Price,StreetAddress,Area
5,4,2589000,3890 MICHENER WAY,North Vancouver
6,6,4488000,2475 W 16TH AVENUE,Vancouver
4,3,3098800,4217 W 13TH AVENUE,Vancouver
3,3,849900,2745 WESTVIEW DRIVE,North Vancouver
1,1,659000,405-2370 W 2ND AVENUE,Vancouver
1,1,599999,803-6699 DUNBLANE AVENUE,Burnaby
2,2,998800,1008-1500 HORNBY STREET,Vancouver
2,2,749800,901-1010 BURNABY STREET,Vancouver
1,1,695000,306-1503 KINGSWAY,Vancouver
1,1,599000,323-1330 MARINE DRIVE,North Vancouver
5,7,5990000,1518 W 26TH AVENUE,Vancouver
2,3,999900,509-7474 BULLER AVENUE,Burnaby
2,2,699900,1005-5833 WILSON AVENUE,Burnaby
1,1,725000,3203-777 RICHARDS STREET,Vancouver
9,9,7680000,2237 W 37TH AVENUE,Vancouver
2,2,1449000,1803-1020 HARWOOD STREET,Vancouver
1,1,849000,2709-610 GRANVILLE STREET,Vancouver
4,2,1790000,5530 COLLEGE STREET,Vancouver
2,2,958000,2506-950 CAMBIE STREET,Vancouver
4,3,1499000,6696 BRANTFORD AVENUE,Burnaby
5,4,2589000,3890 MICHENER WAY,North Vancouver
6,6,4488000,2475 W 16TH AVENUE,Vancouver
4,3,3098800,4217 W 13TH AVENUE,Vancouver
3,3,849900,2745 WESTVIEW DRIVE,North Vancouver
1,1,659000,405-2370 W 2ND AVENUE,Vancouver
1,1,599999,803-6699 DUNBLANE AVENUE,Burnaby
2,2,998800,1008-1500 HORNBY STREET,Vancouver
2,2,749800,901-1010 BURNABY STREET,Vancouver
1,1,695000,306-1503 KINGSWAY,Vancouver
1,1,599000,323-1330 MARINE DRIVE,North Vancouver
5,7,5990000,1518 W 26TH AVENUE,Vancouver
2,3,999900,509-7474 BULLER AVENUE,Burnaby
2,2,699900,1005-5833 WILSON AVENUE,Burnaby
1,1,725000,3203-777 RICHARDS STREET,Vancouver
9,9,7680000,2237 W 37TH AVENUE,Vancouver
2,2,1449000,1803-1020 HARWOOD STREET,Vancouver
1,1,849000,2709-610 GRANVILLE STREET,Vancouver
4,2,1790000,5530 COLLEGE STREET,Vancouver
2,2,958000,2506-950 CAMBIE STREET,Vancouver
4,3,1499000,6696 BRANTFORD AVENUE,Burnaby
1,1,849900,1610-1289 HORNBY STREET,Vancouver
3,0,1598900,7862 OAK STREET,Vancouver
1,1,769000,302-655 W 41ST AVENUE,Vancouver
1,2,899000,1102-4900 LENNOX LANE,Burnaby
1,1,475000,2004-2016 FULLERTON AVENUE,North Vancouver
1,1,799000,101-1925 W 2ND AVENUE,Vancouver
1,1,699000,301-2057 W 3RD AVENUE,Vancouver
2,2,1150000,801-2851 HEATHER STREET,Vancouver
3,3,2488000,1002-738 BROUGHTON STREET,Vancouver
2,2,1568000,1502-1495 RICHARDS STREET,Vancouver
2,2,1499000,2321-89 NELSON STREET,Vancouver
3,4,1379900,310-342 MOUNTAIN HIGHWAY,North Vancouver
3,4,1758900,988 PARK DRIVE,Vancouver
4,2,3790000,780 W KING EDWARD AVENUE,Vancouver
1,2,959900000,306-869 BEATTY STREET,Vancouver
2,2,809900,1101-2225 HOLDOM AVENUE,Burnaby
1,1,1212000,3601-1151 GEORGIA STREET,Vancouver
2,2,1248000,690 CITADEL PARADE,Vancouver
N/A ,0,1249000,971 ADDERLEY STREET,North Vancouver
4,4,3580000,4577 W 14TH AVENUE,Vancouver
2,2,1190000,203-1132 HARO STREET,Vancouver
5,3,1675000,320 E 57TH AVENUE,Vancouver
2,2,1259000,604-133 E ESPLANADE,North Vancouver
4,2,1699000,8 HOWARD AVENUE,Burnaby
6,2,1850000,885 FAIRFIELD ROAD,North Vancouver
2,3,2050000,5-4923 LARCH STREET,Vancouver
2,2,688000,1002-5899 WILSON AVENUE,Burnaby
4,4,1699000,1-2748 GRANT STREET,Vancouver
3,2,1095000,2803-5611 GORING STREET,Burnaby
3,2,814000,210-2028 E 37TH AVENUE,Vancouver
2,2,998000,4B-1568 W 12TH AVENUE,Vancouver
2,2,899900,2701-950 CAMBIE STREET,Vancouver
3,1,1799000,325 E 21ST STREET,North Vancouver
1,1,384900,1001-1720 BARCLAY STREET,Vancouver
1,1,799000,1701-1783 MANITOBA STREET,Vancouver
5,6,3988800,4379 W 16TH STREET,Vancouver
4,2,2889000,4694 W 8TH AVENUE,Vancouver
5,4,4580000,2621 PALMERSTON AVENUE,West Vancouver
2,2,1398800,501-1575 BEACH AVENUE,Vancouver
2,2,898000,304-1635 W 3RD AVENUE,Vancouver
5,4,1999999,911 W 64TH AVENUE,Vancouver
2,2,898000,304-1635 W 3RD AVENUE,Vancouver
2,2,639000,603-2020 FULLERTON AVENUE,North Vancouver
3,2,2388000,238 N HYTHE AVENUE,Burnaby
3,3,1998000,1001-1383 MARINASIDE CRESCENT,Vancouver
N/A ,0,1249000,973 ADDERLEY STREET,North Vancouver
2,2,868000,309-1633 TATLOW AVENUE,North Vancouver
3,3,2498000,4-4919 LARCH STREET,Vancouver
1,1,659900,210-215 E 33RD AVENUE,Vancouver
1,1,450000,308-2299 E 30 AVENUE,Vancouver
3,2,1599900,3101-6463 SILVER AVENUE,Burnaby
7,6,4990000,3249 W 34TH AVENUE,Vancouver
3,4,1978000,557 E 7TH AVENUE,Vancouver
3,4,2088000,555 E 7TH AVENUE,Vancouver
2,2,579800,903-4194 MAYWOOD STREET,Burnaby
7,3,1749000,7251 CURTIS STREET,Burnaby
2,2,859000,205-106 W KINGS ROAD,North Vancouver
2,1,799000,105-777 W 7TH AVENUE,Vancouver
2,2,1230000,1502-550 PACIFIC STREET,Vancouver
2,2,699900,306-7680 COLUMBIA STREET,Vancouver
2,1,749000,604-1816 HARO STREET,Vancouver
2,3,2249000,2702-1401 HUNTER STREET,North Vancouver
1,1,849900,1701-200 KLAHANIE COURT,West Vancouver
2,1,649900,302-505 LONSDALE AVENUE,North Vancouver
2,2,1399900,908-200 KLAHANIE COURT,West Vancouver
3,4,1889900,22-1133 RIDGEWOOD DRIVE,North Vancouver
3,2,2395000,960 FOREST HILLS DRIVE,North Vancouver
2,2,2150000,1402-1888 ALBERNI STREET,Vancouver
1,1,575000,314-530 RAVENWOODS DRIVE,North Vancouver
1,1,850000,101-4171 CAMBIE STREET,Vancouver
1,1,699900,105-1823 E GEORGIA STREET,Vancouver
2,1,874900,1302-6608 SUSSEX AVENUE,Burnaby
1,1,668900,309-6608 SUSSEX AVENUE,Burnaby
3,3,1179000,1980 E KENT AVENUE SOUTH,Vancouver
3,2,1899000,884 PROSPECT AVENUE,North Vancouver
4,2,4900000,665 W 29TH AVENUE,Vancouver
1,1,750000,306-68 SMITHE STREET,Vancouver
6,3,1699000,4329 RAEBURN STREET,North Vancouver
3,2,1695000,4270 NOTTINGHAM ROAD,North Vancouver
2,1,1078000,1318 W 17TH STREET,North Vancouver
5,2,2399000,2331 HARRISON DRIVE,Vancouver
4,2,1799000,1625 ELLESMERE AVENUE,Burnaby
2,2,999900,2114 PRINCE EDWARD STREET,Vancouver
7,5,9500000,438 W 43RD AVENUE,Vancouver
1,1,738000,807-251 E 7TH AVENUE,Vancouver
1,1,629000,2601-131 REGIMENT SQUARE,Vancouver
3,2,1795000,601-4171 CAMBIE STREET,Vancouver
4,4,2490000,1810 BELLEVUE AVENUE,West Vancouver
1,1,769900,4705-4670 ASSEMBLY WAY,Burnaby
2,2,1998000,304-3596 W 28TH AVENUE,Vancouver
2,2,1188000,2904-2085 SKYLINE COURT,Burnaby
2,2,739900,414-6438 BYRNEPARK DRIVE,Burnaby
4,4,2848000,3463 W 11TH AVENUE,Vancouver
6,4,2399000,3475 W 8TH AVENUE,Vancouver
2,2,799000,410-124 W 3RD STREET,North Vancouver
